grp in,advid,count(),SQ,JDQ,full-conversion,billing-conversion
dplugin_theseus_iq_utility3,25636553,1,0,0,1,0
dplugin_theseus_iq_utility0,25636563,5,1,1,1,0
dplugin_theseus_iq_utility0,25636589,1,1,1,1,0
dplugin_theseus_iq_utility1,25636590,2,0,1,1,1
dplugin_theseus_iq_utility2,25636603,2,1,0,1,0
dplugin_theseus_iq_utility1,25636604,7,0,1,1,0
dplugin_theseus_iq_utility1,25636614,4,0,1,1,0
dplugin_theseus_iq_utility3,25636623,2,0,0,1,0
dplugin_theseus_iq_utility0,25636624,1,1,1,1,0
dplugin_theseus_iq_utility0,25636631,104,1,1,1,0
dplugin_theseus_iq_utility0,25636634,1,1,1,1,0
dplugin_theseus_iq_utility1,25636640,3,0,1,1,0
dplugin_theseus_iq_utility2,25636641,8,1,0,1,1
dplugin_theseus_iq_utility1,25636659,1,0,1,1,0
dplugin_theseus_iq_utility3,25636663,2,0,0,1,0
dplugin_theseus_iq_utility0,25636670,5,1,1,0,0
dplugin_theseus_iq_utility3,25636677,3,0,0,1,0
dplugin_theseus_iq_utility3,25636685,5,0,0,1,0
dplugin_theseus_iq_utility1,25636687,2,0,1,1,0
dplugin_theseus_iq_utility3,25636689,1,0,0,0,0
dplugin_theseus_iq_utility2,25636703,38,1,0,1,0
dplugin_theseus_iq_utility1,25636708,1,0,1,1,0
dplugin_theseus_iq_utility2,25636713,37,1,0,1,0
dplugin_theseus_iq_utility0,25636723,17,1,1,1,0
dplugin_theseus_iq_utility2,25636737,97,1,0,1,0
dplugin_theseus_iq_utility3,25636743,17,0,0,1,0
dplugin_theseus_iq_utility0,25636751,1,1,1,1,0
dplugin_theseus_iq_utility3,25636780,1,0,0,1,0
dplugin_theseus_iq_utility1,25636783,1,0,1,1,1
dplugin_theseus_iq_utility2,25636788,3,1,0,1,0
dplugin_theseus_iq_utility2,25636797,1,1,0,1,0
dplugin_theseus_iq_utility1,25636811,1,0,1,1,0
dplugin_theseus_iq_utility0,25636818,5,1,1,1,1
dplugin_theseus_iq_utility1,25636820,5,0,1,1,1
dplugin_theseus_iq_utility2,25636828,69,1,0,1,0
dplugin_theseus_iq_utility3,25636842,2,0,0,1,1
dplugin_theseus_iq_utility3,25636853,12,0,0,1,0
dplugin_theseus_iq_utility1,25636859,9,0,1,1,1
dplugin_theseus_iq_utility2,25636871,1,1,0,0,0
dplugin_theseus_iq_utility3,25636874,1,0,0,1,0
dplugin_theseus_iq_utility2,25636879,1,1,0,1,0
dplugin_theseus_iq_utility2,25636884,8,1,0,1,1
dplugin_theseus_iq_utility3,25636892,1,0,0,1,0
dplugin_theseus_iq_utility3,25636915,1,0,0,1,0
dplugin_theseus_iq_utility2,25636925,4,1,0,0,1
