advid,#_of_posOutcomes,SQ
25636563,2,1
25636603,0,1
25636604,0,0
25636614,0,0
25636623,1,0
25636624,0,1
25636631,2,1
25636634,0,1
25636641,10,1
25636659,2,0
25636663,0,0
25636677,0,0
25636685,0,0
25636703,3,1
25636713,6,1
25636723,1,1
25636737,0,1
25636743,0,0
25636788,0,1
25636797,0,1
25636820,0,0
25636828,3,1
25636853,3,0
25636859,8,0
25636879,6,1
25636884,0,1
25636892,3,0
25636925,0,1
25636928,2,1
25636975,0,0
25636997,1,0
25637005,0,1
25637009,0,0
25637010,10,0
25637031,2,0
25637037,12,0
25637049,1,0
25637061,0,0
25637083,9,1
25637085,1,0
25637121,0,1
25637126,3,1
25637152,0,1
25637159,0,0
25637163,5,1
25637177,0,1
25637183,0,0
25637204,1,0
25637210,0,1
25637218,0,1
25637250,0,0
25637253,0,0
25637264,0,1
25637280,8,0
25637281,0,0
25637295,7,0
25637315,0,0
25637343,1,1
25637348,14,0
25637354,3,1
25637362,0,0
25637368,0,0
25637377,0,0
25637387,0,1
25637392,0,1
25637397,0,0
25637398,0,0
25637403,0,1
25637405,1,1
25637423,6,0
25637429,0,0
25637437,1,0
25637441,0,1
25637450,0,1
25637451,10,0
25637452,0,1
25637472,3,1
25637473,0,1
25637478,1,0
25637481,0,1
25637486,0,1
25637488,0,1
25637494,1,0
25637501,0,1
25637509,2,1
25637518,1,0
25637519,1,0
25637559,0,0
25637575,6,0
25637581,0,1
25637589,3,0
25637591,0,1
25637598,0,0
25637599,1,0
25637609,0,0
25637619,0,0
25637643,0,1
25637650,0,0
25637666,17,0
25637669,0,0
25637680,1,0
25637705,0,1
25637726,0,0
25637738,0,0
25637745,1,1
25637782,0,1
25637794,0,0
25637808,0,0
25637822,1,0
25637827,0,0
25637832,0,0
25637835,0,1
25637849,8,1
25637859,0,1
25637868,1,1
25637881,0,1
25637882,1,1
25637883,0,0
25637890,12,1
25637891,0,1
25637894,0,0
25637896,0,0
25637898,0,0
25637905,0,0
25637909,0,0
25637918,11,1
25637931,0,1
25637945,7,1
25637968,1,0
25637971,0,0
25637981,1,0
25637990,13,0
25637999,0,1
25638007,0,1
25638019,1,1
25638025,33,1
25638027,14,0
25638031,0,0
25638032,0,0
25638041,0,1
25638051,5,0
25638074,0,0
25638077,0,1
25638094,0,1
25638114,5,0
25638119,11,0
25638121,12,1
25638135,2,1
25638142,4,0
25638144,0,1
25638159,9,1
25638167,0,0
25638169,0,0
25638170,0,1
25638178,0,1
25638191,0,0
25638212,0,1
25638220,0,1
25638257,0,0
25638281,22,0
25638283,0,1
25638286,0,0
25638287,3,0
25638298,0,1
25638301,17,0
25638310,0,0
25638319,0,1
25638320,0,1
25638340,20,0
25638358,5,1
25638369,7,1
25638390,0,0
25638392,0,1
25638413,1,1
25638416,1,0
25638417,5,0
25638418,1,1
25638421,2,0
25638427,2,0
25638441,1,1
25638448,1,1
25638449,0,0
25638474,1,1
25638484,1,0
25638486,1,1
25638489,0,0
25638506,2,0
25638507,0,0
25638536,9,1
25638539,0,0
25638542,8,1
25638556,2,0
25638575,0,1
25638585,36,1
25638587,0,1
25638602,0,0
25638606,29,1
25638610,1,0
25638618,0,0
25638621,28,0
25638627,3,0
25638632,0,1
25638633,0,1
25638661,3,0
25638677,0,0
25638679,0,1
25638689,28,0
25638698,0,0
25638702,8,1
25638719,0,1
25638735,0,0
25638741,1,1
25638747,1,0
25638778,8,1
25638784,0,1
25638787,1,1
25638797,14,0
25638799,0,0
25638801,0,1
25638803,0,0
25638807,3,0
25638810,0,0
25638817,3,1
25638820,2,1
25638821,33,1
25638827,0,1
25638835,2,0
25638861,0,1
25638865,0,0
25638880,6,1
25638883,2,0
25638888,0,0
25638908,1,0
25638909,0,1
25638912,0,0
25638921,0,0
25638932,1,1
25638938,1,1
25638943,0,1
25638945,10,0
25638953,3,0
25638974,0,1
25638980,0,0
25638997,1,1
25639010,4,1
25639013,0,1
25639014,0,0
25639018,0,1
25639022,6,0
25639034,0,0
25639035,0,0
25639052,1,1
25639074,3,1
25639077,0,1
25639080,0,0
25639105,0,0
25639123,0,1
25639126,10,0
25639131,192,1
25639137,7,0
25639141,8,0
25639142,4,0
25639146,35,1
25639183,1,1
25639201,0,0
25639251,3,0
25639261,0,0
25639264,0,0
25639272,0,0
25639281,2,1
25639284,8,0
25639285,2,0
25639286,0,0
25639307,2,0
25639311,5,1
25639328,0,1
25639351,0,1
25639352,0,1
25639354,0,0
25639369,2,0
25639377,2,1
25639379,1,1
25639395,0,0
25639432,4,1
25639434,3,0
25639440,0,1
25639443,4,1
25639444,0,1
25639451,0,1
25639454,55,1
25639468,0,1
25639474,2,1
25639489,7,0
25639518,0,1
25639528,1,0
25639534,0,1
25639536,0,0
25639548,41,1
25639549,1,0
25639553,3,0
25639560,0,1
25639561,1,1
25639573,0,1
25639583,0,1
25639609,0,0
25639610,1,1
25639618,2,0
25639637,0,0
25639656,1,0
25639668,0,1
25639679,5,1
25639682,0,0
25639694,0,0
25639706,0,0
25639722,0,1
25639736,0,0
25639738,3,1
25639740,2,1
25639749,6,1
25639751,13,1
25639773,0,1
25639774,4,1
25639812,0,1
25639841,0,0
25639849,21,1
25639851,3,1
25639861,0,1
25639864,5,0
25639877,2,1
25639890,2,0
25639896,2,1
25639909,0,0
25639912,0,0
25639920,0,1
25639924,2,1
25639930,4,1
25639943,9,1
25639955,1,1
25639970,1,0
25639981,0,0
25639999,0,0
25640002,12,0
25640004,3,1
25640010,1,1
25640028,0,0
25640029,2,1
25640044,8,0
25640062,5,0
25640074,3,1
25640080,0,1
25640081,3,1
25640097,0,1
25640108,5,0
25640116,0,0
25640117,6,1
25640119,7,0
25640124,5,1
25640144,0,0
25640146,0,0
25640157,0,1
25640178,3,0
25640179,0,0
25640188,0,1
25640196,0,1
25640200,1,1
25640205,1,0
25640238,0,1
25640241,2,1
25640242,0,0
25640243,0,0
25640248,0,1
25640263,0,1
25640273,4,0
25640294,0,0
25640300,1,0
25640307,0,1
25640308,1,1
25640319,0,0
25640327,1,0
25640330,1,0
25640347,3,0
25640360,0,0
25640362,4,1
25640365,1,1
25640371,0,0
25640391,0,0
25640392,2,1
25640408,0,1
25640421,0,1
25640424,11,0
25640427,0,0
25640434,51,0
25640444,0,1
25640445,1,1
25640462,0,0
25640464,5,0
25640479,1,0
25640480,0,1
25640482,0,1
25640486,0,1
25640500,10,1
25640519,0,1
25640526,0,1
25640528,1,0
25640550,6,0
25640554,0,0
25640557,1,1
25640561,114,0
25640562,13,0
25640572,0,1
25640595,0,1
25640602,1,0
25640609,5,1
25640618,0,1
25640634,0,1
25640639,1,1
25640645,3,1
25640652,6,1
25640659,0,0
25640660,2,0
25640663,0,0
25640674,0,1
25640680,0,0
25640689,0,0
25640697,0,0
25640705,0,0
25640708,0,0
25640711,0,1
25640717,9,0
25640723,0,0
25640726,0,0
25640727,2,0
25640731,0,1
25640734,22,1
25640735,0,0
25640736,0,1
25640738,6,0
25640745,0,1
25640760,0,1
25640761,0,0
25640785,8,0
25640789,0,0
25640791,5,0
25640816,0,1
25640827,0,0
25640846,0,1
25640856,0,1
25640867,0,1
25640870,1,0
25640882,0,1
25640883,0,0
25640884,0,1
25640897,1,1
25640908,0,0
25640916,0,1
25640948,0,1
25640952,0,1
25640955,7,0
25640960,0,1
25640963,2,1
25640967,1,0
25640969,0,0
25640979,18,1
25641000,1,0
25641002,1,1
25641006,0,1
25641011,0,0
25641014,0,1
25641016,0,1
25641024,0,0
25641029,0,0
25641032,13,1
25641039,12,1
25641064,0,0
25641065,0,1
25641072,1,1
25641106,19,0
25641113,2,0
25641117,0,1
25641121,0,1
25641122,0,0
25641130,1,1
25641135,2,0
25641143,0,1
25641152,0,1
25641154,0,1
25641172,3,0
25641182,2,0
25641185,0,1
25641201,0,1
25641202,0,0
25641204,1,0
25641212,0,1
25641230,14,1
25641259,1,1
25641260,4,0
25641262,2,1
25641264,0,0
